Star  R.A. (1950)  Dec. (1950)  Pmax (%)  lmax (�m)  P.A (degrees)  mV
HD 7927    01 16 55.1  +57 58 10  3.4  0.51   94  5.0
HD 14433   02 18 22.3  +57 00 54  3.9  0.51  112  6.4
HD 21291   03 25 00.1  +59 46 05  3.5  0.52  115  4.2
HD 23512   03 43 36.3  +23 28 12  2.3  0.60   30  8.1
HD 43384   06 13 55.6  +23 45 35  3.0  0.53  170  6.2
HD 147084  16 17 37.4  -24 03 02  4.3  0.67   32  4.6
HD 154445  17 02 57.5  -00 49 30  3.7  0.57   90  5.7
HD 160529  17 38 41.2  -33 28 47  7.2  0.53   20  6.7
HD 183143  19 25 13.2  +18 11 37  6.1  0.56    0  6.9
HD 187929  19 49 55.5  +00 52 33  1.8  0.56   93  3.5 - 4.3
HD 198478  20 47 14.0  +45 55 40  2.8  0.53    3  4.9
HD 204827  21 27 31.3  +58 31 13  5.6  0.46   60  7.9
